Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006556"," 70601RDWTLUSM0",$12," 1",$12,"  costume dress "," Polyester "," "
" 000000006556"," 76007NVRD00L00",$9," 3",$27,"  costume dress "," Polyester "," "
" 000000006556"," 76007NVRD00M00",$9," 3",$27,"  costume dress "," Polyester "," "
" 000000006556"," 8277BK0000OS0",$2.75," 1",$2.75,"  tedy "," nylon "," "
" 000000006558"," 2062alBKRD00OS0",$5," 1",$5,"  Accessory "," plastic "," "
" 000000006558"," 2063alBKRD00OS0",$5," 1",$5,"  Accessory "," plastic "," "
" 000000006558"," 16-300BK0000M00",$39.88," 1",$39.88,"  Long Pants "," nylon "," "
" 000000006558"," 17-0402BK0000S00",$12.25," 1",$12.25,"  bustier "," nylon "," "
" 000000006559"," ne1813muYLMT00OS0",$14," 2",$28,"  Tanktop "," Polyester "," "
" 000000006559"," pr1040foSV0000OS0",$3.7," 1",$3.7,"  Accessory "," plastic "," "
" 000000006560"," 1706BK0000OS0",$0.63," 6",$3.78,"  hosiery "," nylon "," "
" 000000006560"," 1726WT0000OS0",$1," 3",$3,"  hosiery "," nylon "," "
" 000000006560"," 1756BK0000OS0",$0.75," 6",$4.5,"  hosiery "," nylon "," "
" 000000006560"," 1769CQTRD0000OS0",$1.13," 3",$3.39,"  hosiery "," nylon "," "
" 000000006560"," 1952BK0000OS0",$4.45," 1",$4.45,"  babydoll "," nylon "," "
" 000000006560"," 1979WT0000OS0",$4.45," 1",$4.45,"  babydoll "," nylon "," "
" 000000006560"," D1729BK0000OS0",$4," 6",$24," bustier"," nylon"," "
" 000000006560"," d9243BK0000OS0",$6," 1",$6,"  garter belt "," nylon "," "
" 000000006560"," D9248BK0000XL0",$9," 1",$9,"  One Piece "," nylon "," "
" 000000006560"," D9251BK0000S00",$11," 1",$11,"  One Piece "," nylon "," "
" 000000006560"," D9254BK0000L00",$8.75," 1",$8.75,"  Skirt "," nylon "," "
" 000000006560"," D9267BK0000OS0",$2.5," 2",$5,"  panty "," nylon "," "
" 000000006561"," 361-SashaBK000006i",$6," 1",$6,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006561"," 361-SashaBK000007i",$6," 1",$6,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006561"," 609-VanityCL000006i",$8.5," 1",$8.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006561"," 633-payton-vBK000010i",$12.5," 1",$12.5,"  sneaker "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006561"," 633-payton-vGY000010i",$12.5," 1",$12.5,"  sneaker "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006561"," 821-JULIETBKPT0006i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006561"," EASYBKPT0006i",$9.5," 1",$9.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006562"," 22867HWTPK00S00",$14.25," 1",$14.25,"  bustier "," nylon "," "
" 000000006563"," 112001GD0000LXL",$9.75," 1",$9.75,"  Jumpsuit "," Polyester "," "
" 000000006563"," 553900RD0000SM0",$14.5," 1",$14.5," Jumpsuit"," Polyester"," "
" 000000006563"," 553901RD0000XSS",$12," 1",$12," hosiery"," nylon"," "
" 000000006563"," 553902RD0000XSS",$14.5," 1",$14.5," Hair Accessory"," plastic"," "
" 000000006563"," 883805GD0000S00",$11.25," 1",$11.25,"  One Piece "," nylon "," "
" 000000006564"," 1027jvWT0000SM0",$12.25," 1",$12.25,"  bra "," nylon "," "
" 000000006564"," 1028jvWTRD00S00",$34.75," 1",$34.75,"  One Piece "," nylon "," "
" 000000006565"," 1011qWT0000OSX",$1.3," 6",$7.8," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006565"," 1300BK0000OS0",$1.68," 6",$10.08,"  hosiery "," nylon "," "
" 000000006565"," 1901-6pkND0000OS0",$2.38," 1",$2.38," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006565"," 1901BK0000OS0",$0.63," 6",$3.78,"  hosiery "," nylon "," "
" 000000006565"," 2052BK0000OS0",$3," 1",$3,"  Glove "," nylon "," "
" 000000006565"," 2672WTRB00OS0",$8.23," 2",$16.46,"  costume dress "," Polyester "," "
" 000000006565"," 2708BK0000OS0",$4.7," 1",$4.7,"  Hats "," Polyester "," "
" 000000006565"," 2922LARD0000SM0",$6.48," 1",$6.48,"  panty "," nylon "," "
" 000000006565"," 2949RD0000M00",$4," 1",$4,"  panty "," nylon "," "
" 000000006565"," 8471BK0000OS0",$4," 2",$8,"  tedy "," nylon "," "
" 000000006565"," 85010WT0000ML0",$15," 1",$15," Coat"," Synthetic leather"," "
" 000000006565"," 85207BKGD00ML0",$9.4," 1",$9.4,"  costume dress "," Polyester "," "
" 000000006565"," 86579PKNE00OS0",$3," 1",$3,"  One Piece "," nylon "," "
" 000000006565"," 9001laBK0000OS0",$0.5," 6",$3,"  hosiery "," nylon "," "
" 000000006565"," 9021WT0000OS0",$0.88," 6",$5.28,"  hosiery "," nylon "," "
" 000000006565"," 9173BK0000OS0",$2.75," 1",$2.75,"  hosiery "," nylon "," "
