顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006528,10,008,1076893RDPT0009i,1076893RDPT0009i,SEDUCE-420-RED  Red Patent,RDPT00,09i,SEDUCE-420-REDRDPT0009i,,レッド エナメル,サイズ9(US),,,1075,20141214,1,00,101,0,パンプス　上合皮　下プラスチック
110001,001,00001,000000006529,10,001,1030834BKPT0006i,1030834BKPT0006i,ADORE-3000,BKPT00,06i,ADORE-3000BKPT0006i,,ブラック エナメル,サイズ6(US),,,3300,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006529,10,002,1035635NEWT0008i,1035635NEWT0008i,ADORE-708UV Pleaser USA Platform US Sandal 6 1/2 Heels Glow in the Dark,NEWT00,08i,ADORE-708UVNEWT0008i,,ネオン（蛍光色） ホワイト ,サイズ8(US),,,2300,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006529,10,003,1077284HP000011i,1077284HP000011i,Delight-601FL please usa platform sandal clear heels 6 inch heel,HP0000,11i,Delight-601FLHP000011i,,ホットピンク,サイズ11(US),,,1600,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006529,10,004,1017336BKPT0013i,1017336BKPT0013i,0,BKPT00,13i,Exotica-2020BKPT0013i,,ブラック エナメル,13インチ(US),,,1699,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006529,10,005,1043508CLCL0007i,1043508CLCL0007i,Sky-301 Pleaser USA Clear Sandal 7 inch heels platforms,CLCL00,07i,Sky-301CLCL0007i,,クリア クリア ,サイズ7(US),,,1700,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006530,11,001,1161368BKPU0008i,1161368BKPU0008i,5inch Heel Knee Boot With Whip,BKPU00,08i,511-sadieBKPU0008i,,ブラック 合皮,サイズ8(US),,,3200,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006530,11,002,1123454BKPT0012i,1123454BKPT0012i,5.5 Heel Ankle Boot W/Inner Zipper.,BKPT00,12i,557-DOLLYBKPT0012i,,ブラック エナメル,サイズ12(US),,,1800,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006530,11,003,1120496BK000007i,1120496BK000007i,5inch Boots,BK0000,07i,557-OLIVIABK000007i,,ブラック,7インチ(US),,,2700,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006530,11,004,1122422BKPT0006i,1122422BKPT0006i,821-juliet,BKPT00,06i,821-JULIETBKPT0006i,,ブラック エナメル,サイズ6(US),,,2300,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006530,11,005,1122445WTPT0006i,1122445WTPT0006i,821-juliet,WTPT00,06i,821-JULIETWTPT0006i,,ホワイト エナメル,サイズ6(US),,,2300,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006531,10,001,1009931BKPT0011i,1009931BKPT0011i,DOMINA-1023,BKPT00,11i,DOMINA-1023BKPT0011i,,ブラック エナメル,サイズ11(US),,,2800,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006531,10,002,1009573BKPT0010i,1009573BKPT0010i,DOMINA-460,BKPT00,10i,DOMINA-460BKPT0010i,,ブラック エナメル,サイズ10(US),,,2200,20141214,1,00,101,0,パンプス　上合皮　下プラスチック
